"Date","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","year","month","Ozone","PM2.5"
2017-01-01,"Blackstone","Lee",35.4325,-79.2887,2017,1,27,25
2017-01-01,"Bryson City","Swain",35.434767,-83.442133,2017,1,NA,40
2017-01-02,"Blackstone","Lee",35.4325,-79.2887,2017,1,15,7
2017-01-02,"Bryson City","Swain",35.434767,-83.442133,2017,1,NA,38
2017-01-03,"Blackstone","Lee",35.4325,-79.2887,2017,1,15,10
2017-01-03,"Bryson City","Swain",35.434767,-83.442133,2017,1,NA,13
2017-01-04,"Blackstone","Lee",35.4325,-79.2887,2017,1,27,14
2017-01-04,"Bryson City","Swain",35.434767,-83.442133,2017,1,NA,18
2017-01-05,"Blackstone","Lee",35.4325,-79.2887,2017,1,24,25
2017-01-05,"Bryson City","Swain",35.434767,-83.442133,2017,1,NA,33
2017-01-05,"Triple Oak","Wake",35.8652,-78.8197,2017,1,NA,11
2017-01-06,"Blackstone","Lee",35.4325,-79.2887,2017,1,23,25
2017-01-06,"Bryson City","Swain",35.434767,-83.442133,2017,1,NA,25
2017-01-06,"Triple Oak","Wake",35.8652,-78.8197,2017,1,NA,22
2017-01-07,"Blackstone","Lee",35.4325,-79.2887,2017,1,30,30
2017-01-07,"Bryson City","Swain",35.434767,-83.442133,2017,1,NA,40
2017-01-07,"Triple Oak","Wake",35.8652,-78.8197,2017,1,NA,24
2017-01-08,"Blackstone","Lee",35.4325,-79.2887,2017,1,33,41
2017-01-08,"Bryson City","Swain",35.434767,-83.442133,2017,1,NA,44
2017-01-08,"Triple Oak","Wake",35.8652,-78.8197,2017,1,NA,31
2017-01-09,"Blackstone","Lee",35.4325,-79.2887,2017,1,31,38
2017-01-09,"Bryson City","Swain",35.434767,-83.442133,2017,1,NA,52
2017-01-09,"Triple Oak","Wake",35.8652,-78.8197,2017,1,NA,42
2017-01-10,"Blackstone","Lee",35.4325,-79.2887,2017,1,33,34
2017-01-10,"Bryson City","Swain",35.434767,-83.442133,2017,1,NA,54
2017-01-10,"Triple Oak","Wake",35.8652,-78.8197,2017,1,NA,46
2017-01-11,"Blackstone","Lee",35.4325,-79.2887,2017,1,27,20
2017-01-11,"Bryson City","Swain",35.434767,-83.442133,2017,1,NA,49
2017-01-11,"Triple Oak","Wake",35.8652,-78.8197,2017,1,NA,43
